MUTCell151_1.fastq	MUTCell151_2.fastq	MUTCell151
MUTCell200_1.fastq	MUTCell200_2.fastq	MUTCell200
MUTCell201_1.fastq	MUTCell201_2.fastq	MUTCell201
MUTCell202_1.fastq	MUTCell202_2.fastq	MUTCell202
MUTCell203_1.fastq	MUTCell203_2.fastq	MUTCell203
MUTCell204_1.fastq	MUTCell204_2.fastq	MUTCell204
MUTCell205_1.fastq	MUTCell205_2.fastq	MUTCell205
MUTCell206_1.fastq	MUTCell206_2.fastq	MUTCell206
MUTCell207_1.fastq	MUTCell207_2.fastq	MUTCell207
MUTCell208_1.fastq	MUTCell208_2.fastq	MUTCell208
MUTCell209_1.fastq	MUTCell209_2.fastq	MUTCell209
MUTCell210_1.fastq	MUTCell210_2.fastq	MUTCell210
MUTCell211_1.fastq	MUTCell211_2.fastq	MUTCell211
MUTCell212_1.fastq	MUTCell212_2.fastq	MUTCell212
MUTCell213_1.fastq	MUTCell213_2.fastq	MUTCell213
MUTCell214_1.fastq	MUTCell214_2.fastq	MUTCell214
MUTCell215_1.fastq	MUTCell215_2.fastq	MUTCell215
MUTCell216_1.fastq	MUTCell216_2.fastq	MUTCell216
MUTCell217_1.fastq	MUTCell217_2.fastq	MUTCell217
MUTCell218_1.fastq	MUTCell218_2.fastq	MUTCell218
MUTCell219_1.fastq	MUTCell219_2.fastq	MUTCell219
MUTCell220_1.fastq	MUTCell220_2.fastq	MUTCell220
MUTCell221_1.fastq	MUTCell221_2.fastq	MUTCell221
MUTCell222_1.fastq	MUTCell222_2.fastq	MUTCell222
MUTCell223_1.fastq	MUTCell223_2.fastq	MUTCell223
MUTCell224_1.fastq	MUTCell224_2.fastq	MUTCell224
MUTCell225_1.fastq	MUTCell225_2.fastq	MUTCell225
MUTCell226_1.fastq	MUTCell226_2.fastq	MUTCell226
MUTCell227_1.fastq	MUTCell227_2.fastq	MUTCell227
MUTCell228_1.fastq	MUTCell228_2.fastq	MUTCell228
MUTCell229_1.fastq	MUTCell229_2.fastq	MUTCell229
MUTCell230_1.fastq	MUTCell230_2.fastq	MUTCell230
MUTCell231_1.fastq	MUTCell231_2.fastq	MUTCell231
MUTCell232_1.fastq	MUTCell232_2.fastq	MUTCell232
MUTCell233_1.fastq	MUTCell233_2.fastq	MUTCell233
MUTCell234_1.fastq	MUTCell234_2.fastq	MUTCell234
MUTCell235_1.fastq	MUTCell235_2.fastq	MUTCell235
MUTCell236_1.fastq	MUTCell236_2.fastq	MUTCell236
MUTCell237_1.fastq	MUTCell237_2.fastq	MUTCell237
MUTCell238_1.fastq	MUTCell238_2.fastq	MUTCell238
MUTCell239_1.fastq	MUTCell239_2.fastq	MUTCell239
MUTCell240_1.fastq	MUTCell240_2.fastq	MUTCell240
MUTCell241_1.fastq	MUTCell241_2.fastq	MUTCell241
MUTCell242_1.fastq	MUTCell242_2.fastq	MUTCell242
MUTCell243_1.fastq	MUTCell243_2.fastq	MUTCell243
MUTCell244_1.fastq	MUTCell244_2.fastq	MUTCell244
MUTCell245_1.fastq	MUTCell245_2.fastq	MUTCell245
MUTCell246_1.fastq	MUTCell246_2.fastq	MUTCell246
MUTCell247_1.fastq	MUTCell247_2.fastq	MUTCell247
MUTCell248_1.fastq	MUTCell248_2.fastq	MUTCell248
MUTCell249_1.fastq	MUTCell249_2.fastq	MUTCell249
MUTCell250_1.fastq	MUTCell250_2.fastq	MUTCell250
MUTCell251_1.fastq	MUTCell251_2.fastq	MUTCell251
MUTCell252_1.fastq	MUTCell252_2.fastq	MUTCell252
MUTCell253_1.fastq	MUTCell253_2.fastq	MUTCell253
MUTCell254_1.fastq	MUTCell254_2.fastq	MUTCell254
MUTCell255_1.fastq	MUTCell255_2.fastq	MUTCell255
MUTCell256_1.fastq	MUTCell256_2.fastq	MUTCell256
MUTCell257_1.fastq	MUTCell257_2.fastq	MUTCell257
MUTCell258_1.fastq	MUTCell258_2.fastq	MUTCell258
MUTCell259_1.fastq	MUTCell259_2.fastq	MUTCell259
MUTCell260_1.fastq	MUTCell260_2.fastq	MUTCell260
MUTCell261_1.fastq	MUTCell261_2.fastq	MUTCell261
MUTCell262_1.fastq	MUTCell262_2.fastq	MUTCell262
MUTCell263_1.fastq	MUTCell263_2.fastq	MUTCell263
MUTCell264_1.fastq	MUTCell264_2.fastq	MUTCell264
MUTCell265_1.fastq	MUTCell265_2.fastq	MUTCell265
MUTCell266_1.fastq	MUTCell266_2.fastq	MUTCell266
MUTCell267_1.fastq	MUTCell267_2.fastq	MUTCell267
MUTCell268_1.fastq	MUTCell268_2.fastq	MUTCell268
MUTCell269_1.fastq	MUTCell269_2.fastq	MUTCell269
MUTCell270_1.fastq	MUTCell270_2.fastq	MUTCell270
MUTCell271_1.fastq	MUTCell271_2.fastq	MUTCell271
MUTCell272_1.fastq	MUTCell272_2.fastq	MUTCell272
MUTCell273_1.fastq	MUTCell273_2.fastq	MUTCell273
MUTCell274_1.fastq	MUTCell274_2.fastq	MUTCell274
MUTCell275_1.fastq	MUTCell275_2.fastq	MUTCell275
MUTCell276_1.fastq	MUTCell276_2.fastq	MUTCell276
MUTCell277_1.fastq	MUTCell277_2.fastq	MUTCell277
MUTCell278_1.fastq	MUTCell278_2.fastq	MUTCell278
MUTCell279_1.fastq	MUTCell279_2.fastq	MUTCell279
MUTCell280_1.fastq	MUTCell280_2.fastq	MUTCell280
MUTCell281_1.fastq	MUTCell281_2.fastq	MUTCell281
MUTCell282_1.fastq	MUTCell282_2.fastq	MUTCell282
MUTCell283_1.fastq	MUTCell283_2.fastq	MUTCell283
MUTCell284_1.fastq	MUTCell284_2.fastq	MUTCell284
MUTCell285_1.fastq	MUTCell285_2.fastq	MUTCell285
MUTCell286_1.fastq	MUTCell286_2.fastq	MUTCell286
MUTCell287_1.fastq	MUTCell287_2.fastq	MUTCell287
MUTCell288_1.fastq	MUTCell288_2.fastq	MUTCell288
MUTCell289_1.fastq	MUTCell289_2.fastq	MUTCell289
MUTCell290_1.fastq	MUTCell290_2.fastq	MUTCell290
MUTCell291_1.fastq	MUTCell291_2.fastq	MUTCell291
MUTCell292_1.fastq	MUTCell292_2.fastq	MUTCell292
MUTCell293_1.fastq	MUTCell293_2.fastq	MUTCell293
MUTCell294_1.fastq	MUTCell294_2.fastq	MUTCell294
MUTCell295_1.fastq	MUTCell295_2.fastq	MUTCell295
MUTCell296_1.fastq	MUTCell296_2.fastq	MUTCell296
MUTCell297_1.fastq	MUTCell297_2.fastq	MUTCell297
MUTCell298_1.fastq	MUTCell298_2.fastq	MUTCell298
MUTCell299_1.fastq	MUTCell299_2.fastq	MUTCell299
MUTCell300_1.fastq	MUTCell300_2.fastq	MUTCell300
