WTCell151_1.fastq	WTCell151_2.fastq	WTCell151
WTCell195_1.fastq	WTCell195_2.fastq	WTCell195
WTCell196_1.fastq	WTCell196_2.fastq	WTCell196
WTCell197_1.fastq	WTCell197_2.fastq	WTCell197
WTCell198_1.fastq	WTCell198_2.fastq	WTCell198
WTCell199_1.fastq	WTCell199_2.fastq	WTCell199
WTCell200_1.fastq	WTCell200_2.fastq	WTCell200
WTCell201_1.fastq	WTCell201_2.fastq	WTCell201
WTCell202_1.fastq	WTCell202_2.fastq	WTCell202
WTCell203_1.fastq	WTCell203_2.fastq	WTCell203
WTCell204_1.fastq	WTCell204_2.fastq	WTCell204
WTCell205_1.fastq	WTCell205_2.fastq	WTCell205
WTCell206_1.fastq	WTCell206_2.fastq	WTCell206
WTCell207_1.fastq	WTCell207_2.fastq	WTCell207
WTCell208_1.fastq	WTCell208_2.fastq	WTCell208
WTCell209_1.fastq	WTCell209_2.fastq	WTCell209
WTCell210_1.fastq	WTCell210_2.fastq	WTCell210
WTCell211_1.fastq	WTCell211_2.fastq	WTCell211
WTCell212_1.fastq	WTCell212_2.fastq	WTCell212
WTCell213_1.fastq	WTCell213_2.fastq	WTCell213
WTCell214_1.fastq	WTCell214_2.fastq	WTCell214
WTCell215_1.fastq	WTCell215_2.fastq	WTCell215
WTCell216_1.fastq	WTCell216_2.fastq	WTCell216
WTCell217_1.fastq	WTCell217_2.fastq	WTCell217
WTCell218_1.fastq	WTCell218_2.fastq	WTCell218
WTCell219_1.fastq	WTCell219_2.fastq	WTCell219
WTCell220_1.fastq	WTCell220_2.fastq	WTCell220
WTCell221_1.fastq	WTCell221_2.fastq	WTCell221
WTCell222_1.fastq	WTCell222_2.fastq	WTCell222
WTCell223_1.fastq	WTCell223_2.fastq	WTCell223
WTCell224_1.fastq	WTCell224_2.fastq	WTCell224
WTCell225_1.fastq	WTCell225_2.fastq	WTCell225
WTCell226_1.fastq	WTCell226_2.fastq	WTCell226
WTCell227_1.fastq	WTCell227_2.fastq	WTCell227
WTCell228_1.fastq	WTCell228_2.fastq	WTCell228
WTCell229_1.fastq	WTCell229_2.fastq	WTCell229
WTCell230_1.fastq	WTCell230_2.fastq	WTCell230
WTCell231_1.fastq	WTCell231_2.fastq	WTCell231
WTCell232_1.fastq	WTCell232_2.fastq	WTCell232
WTCell233_1.fastq	WTCell233_2.fastq	WTCell233
WTCell234_1.fastq	WTCell234_2.fastq	WTCell234
WTCell235_1.fastq	WTCell235_2.fastq	WTCell235
WTCell236_1.fastq	WTCell236_2.fastq	WTCell236
WTCell237_1.fastq	WTCell237_2.fastq	WTCell237
WTCell238_1.fastq	WTCell238_2.fastq	WTCell238
WTCell239_1.fastq	WTCell239_2.fastq	WTCell239
WTCell240_1.fastq	WTCell240_2.fastq	WTCell240
WTCell241_1.fastq	WTCell241_2.fastq	WTCell241
WTCell242_1.fastq	WTCell242_2.fastq	WTCell242
WTCell243_1.fastq	WTCell243_2.fastq	WTCell243
WTCell244_1.fastq	WTCell244_2.fastq	WTCell244
WTCell245_1.fastq	WTCell245_2.fastq	WTCell245
WTCell246_1.fastq	WTCell246_2.fastq	WTCell246
WTCell247_1.fastq	WTCell247_2.fastq	WTCell247
WTCell248_1.fastq	WTCell248_2.fastq	WTCell248
WTCell249_1.fastq	WTCell249_2.fastq	WTCell249
WTCell250_1.fastq	WTCell250_2.fastq	WTCell250
WTCell251_1.fastq	WTCell251_2.fastq	WTCell251
WTCell252_1.fastq	WTCell252_2.fastq	WTCell252
WTCell253_1.fastq	WTCell253_2.fastq	WTCell253
WTCell254_1.fastq	WTCell254_2.fastq	WTCell254
WTCell255_1.fastq	WTCell255_2.fastq	WTCell255
WTCell256_1.fastq	WTCell256_2.fastq	WTCell256
WTCell257_1.fastq	WTCell257_2.fastq	WTCell257
WTCell258_1.fastq	WTCell258_2.fastq	WTCell258
WTCell259_1.fastq	WTCell259_2.fastq	WTCell259
WTCell260_1.fastq	WTCell260_2.fastq	WTCell260
WTCell261_1.fastq	WTCell261_2.fastq	WTCell261
WTCell262_1.fastq	WTCell262_2.fastq	WTCell262
WTCell263_1.fastq	WTCell263_2.fastq	WTCell263
WTCell264_1.fastq	WTCell264_2.fastq	WTCell264
WTCell265_1.fastq	WTCell265_2.fastq	WTCell265
WTCell266_1.fastq	WTCell266_2.fastq	WTCell266
WTCell267_1.fastq	WTCell267_2.fastq	WTCell267
WTCell268_1.fastq	WTCell268_2.fastq	WTCell268
WTCell269_1.fastq	WTCell269_2.fastq	WTCell269
WTCell270_1.fastq	WTCell270_2.fastq	WTCell270
WTCell271_1.fastq	WTCell271_2.fastq	WTCell271
WTCell272_1.fastq	WTCell272_2.fastq	WTCell272
WTCell273_1.fastq	WTCell273_2.fastq	WTCell273
WTCell274_1.fastq	WTCell274_2.fastq	WTCell274
WTCell275_1.fastq	WTCell275_2.fastq	WTCell275
WTCell276_1.fastq	WTCell276_2.fastq	WTCell276
WTCell277_1.fastq	WTCell277_2.fastq	WTCell277
WTCell278_1.fastq	WTCell278_2.fastq	WTCell278
WTCell279_1.fastq	WTCell279_2.fastq	WTCell279
WTCell280_1.fastq	WTCell280_2.fastq	WTCell280
WTCell281_1.fastq	WTCell281_2.fastq	WTCell281
WTCell282_1.fastq	WTCell282_2.fastq	WTCell282
WTCell283_1.fastq	WTCell283_2.fastq	WTCell283
WTCell284_1.fastq	WTCell284_2.fastq	WTCell284
WTCell285_1.fastq	WTCell285_2.fastq	WTCell285
WTCell286_1.fastq	WTCell286_2.fastq	WTCell286
WTCell287_1.fastq	WTCell287_2.fastq	WTCell287
WTCell288_1.fastq	WTCell288_2.fastq	WTCell288
WTCell289_1.fastq	WTCell289_2.fastq	WTCell289
WTCell290_1.fastq	WTCell290_2.fastq	WTCell290
WTCell291_1.fastq	WTCell291_2.fastq	WTCell291
WTCell292_1.fastq	WTCell292_2.fastq	WTCell292
WTCell293_1.fastq	WTCell293_2.fastq	WTCell293
WTCell294_1.fastq	WTCell294_2.fastq	WTCell294
WTCell295_1.fastq	WTCell295_2.fastq	WTCell295
WTCell296_1.fastq	WTCell296_2.fastq	WTCell296
WTCell297_1.fastq	WTCell297_2.fastq	WTCell297
WTCell298_1.fastq	WTCell298_2.fastq	WTCell298
WTCell299_1.fastq	WTCell299_2.fastq	WTCell299
WTCell300_1.fastq	WTCell300_2.fastq	WTCell300
WTCell301_1.fastq	WTCell301_2.fastq	WTCell301
